dataset,unseen_idx,unseen_names,nclass,pre_OA_mean,pre_OA_std,pre_AA_mean,pre_AA_std,pre_Kappa_mean,pre_Kappa_std,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,S_OA_mean,S_OA_std,U_OA_mean,U_OA_std,H_OA_mean,H_OA_std,S_AA_mean,S_AA_std,U_AA_mean,U_AA_std,H_AA_mean,H_AA_std,avg_train_time,avg_test_time
HS-SAR-Berlin,1;7,forest;commercial area,8,0.706015,0.009049,0.366076,0.024706,0.481089,0.017193,0.845540,0.004003,0.718622,0.006161,0.745623,0.006244,0.968885,0.001371,0.250454,0.023686,0.397436,0.029930,0.897565,0.007619,0.181793,0.017193,0.301948,0.023672,700.49,0.90
HS-SAR-Berlin,1;8,forest;water,8,0.711342,0.005040,0.371264,0.012113,0.484184,0.012306,0.850275,0.003481,0.697497,0.007183,0.757857,0.005122,0.956641,0.001474,0.154629,0.023275,0.265509,0.034302,0.892940,0.008886,0.111168,0.016659,0.197272,0.026152,701.42,0.91
HS-SAR-Berlin,2;3,residential area;industrial area,8,0.307618,0.002264,0.517920,0.017601,0.239339,0.003007,0.376512,0.001749,0.746598,0.004492,0.317810,0.001866,0.960403,0.001416,0.019016,0.002911,0.037276,0.005595,0.948779,0.001572,0.140055,0.021441,0.243430,0.032415,699.95,0.89
HS-SAR-Berlin,2;4,residential area;low plants,8,0.227076,0.004468,0.525028,0.029209,0.173936,0.009594,0.300863,0.005859,0.724936,0.005814,0.236142,0.008057,0.951553,0.002305,0.029526,0.008439,0.057138,0.015913,0.939360,0.002486,0.081665,0.023342,0.149354,0.039764,700.21,0.90
HS-SAR-Berlin,2;5,residential area;soil,8,0.291062,0.002789,0.446777,0.013381,0.221565,0.006728,0.395467,0.001754,0.801748,0.005821,0.355144,0.001882,0.950563,0.004495,0.048906,0.001853,0.093019,0.003351,0.935185,0.007676,0.401438,0.015211,0.561540,0.014668,700.25,0.89
HS-SAR-Berlin,2;6,residential area;allotment,8,0.315042,0.001305,0.552009,0.012843,0.252603,0.001034,0.395319,0.014825,0.717496,0.005014,0.330948,0.011914,0.958403,0.002295,0.030402,0.023714,0.057898,0.043460,0.951343,0.004312,0.015954,0.012444,0.031078,0.023748,706.20,0.90
HS-SAR-Berlin,2;7,residential area;commercial area,8,0.292789,0.004967,0.499638,0.043692,0.226775,0.007639,0.380751,0.020413,0.716671,0.003753,0.311745,0.013663,0.960161,0.001832,0.042735,0.033070,0.079901,0.058137,0.947780,0.003078,0.023342,0.018063,0.044933,0.033586,706.61,0.90
HS-SAR-Berlin,2;8,residential area;water,8,0.305732,0.002897,0.469600,0.014891,0.240448,0.004737,0.392701,0.000444,0.748160,0.002170,0.337818,0.001355,0.951689,0.001322,0.008243,0.000562,0.016344,0.001105,0.940852,0.001496,0.170085,0.011602,0.287911,0.016500,709.59,0.90
HS-SAR-Berlin,3;4,industrial area;low plants,8,0.698521,0.005095,0.367515,0.023505,0.451901,0.022155,0.801761,0.003007,0.682091,0.009646,0.679778,0.004879,0.952355,0.003018,0.064859,0.010453,0.121258,0.018348,0.865934,0.010695,0.130562,0.020920,0.226242,0.031679,705.32,0.88
HS-SAR-Berlin,3;5,industrial area;soil,8,0.765469,0.004159,0.378181,0.004912,0.606405,0.003376,0.897861,0.004388,0.729798,0.010309,0.834118,0.007519,0.946768,0.004437,0.332415,0.016108,0.491844,0.017708,0.855455,0.013084,0.352827,0.017097,0.499317,0.017091,706.96,0.90
HS-SAR-Berlin,3;6,industrial area;allotment,8,0.793968,0.002874,0.463512,0.012284,0.649250,0.005069,0.900918,0.002659,0.705301,0.008666,0.837423,0.004450,0.956457,0.001045,0.171325,0.026578,0.289712,0.038000,0.892430,0.008054,0.143912,0.022325,0.247154,0.032936,706.86,0.84
HS-SAR-Berlin,3;7,industrial area;commercial area,8,0.778374,0.005087,0.420878,0.011599,0.609112,0.010208,0.885171,0.001930,0.709017,0.007307,0.809977,0.003090,0.964011,0.001842,0.138694,0.016561,0.242123,0.024819,0.892912,0.007564,0.157330,0.018786,0.267046,0.026579,709.80,0.88
HS-SAR-Berlin,3;8,industrial area;water,8,0.791191,0.001943,0.454840,0.013446,0.645431,0.004907,0.900112,0.001545,0.682862,0.005922,0.837274,0.002872,0.951744,0.001811,0.037320,0.007051,0.071730,0.012961,0.886021,0.009048,0.073383,0.013864,0.135180,0.023218,708.21,0.86
HS-SAR-Berlin,4;5,low plants;soil,8,0.675290,0.004566,0.283927,0.018286,0.407802,0.023653,0.820232,0.001317,0.735979,0.006148,0.711579,0.002334,0.948481,0.002032,0.171585,0.004798,0.290567,0.006819,0.855419,0.010277,0.377661,0.010560,0.523830,0.008920,710.95,0.88
HS-SAR-Berlin,4;6,low plants;allotment,8,0.707216,0.007102,0.405917,0.018251,0.480641,0.016269,0.823277,0.004592,0.683605,0.007920,0.711798,0.007298,0.956637,0.002631,0.102915,0.021095,0.185171,0.033865,0.890471,0.008325,0.063006,0.012914,0.117393,0.022319,705.32,0.83
HS-SAR-Berlin,4;7,low plants;commercial area,8,0.702233,0.004693,0.394584,0.016968,0.470270,0.014260,0.812897,0.003961,0.688098,0.009212,0.692136,0.006357,0.964114,0.001594,0.128655,0.016201,0.226649,0.025273,0.887043,0.009669,0.091264,0.011493,0.165299,0.019022,702.53,0.90
HS-SAR-Berlin,4;8,low plants;water,8,0.704177,0.004040,0.387073,0.023293,0.465694,0.013155,0.818835,0.001095,0.680119,0.004655,0.707734,0.002333,0.951893,0.001520,0.014441,0.001874,0.028443,0.003633,0.883033,0.008577,0.071379,0.009262,0.131907,0.015698,703.58,0.90
HS-SAR-Berlin,5;6,soil;allotment,8,0.775407,0.006494,0.396622,0.005168,0.616889,0.008421,0.915885,0.001849,0.749315,0.004491,0.862544,0.003036,0.953910,0.002404,0.378933,0.017930,0.542140,0.018042,0.887712,0.004972,0.334125,0.015810,0.485275,0.016362,702.48,0.89
HS-SAR-Berlin,5;7,soil;commercial area,8,0.769418,0.003311,0.379067,0.012144,0.601510,0.008007,0.897934,0.001890,0.744002,0.011338,0.831745,0.003311,0.960089,0.002468,0.276480,0.014448,0.429112,0.017103,0.880279,0.014565,0.335170,0.017515,0.485181,0.017954,702.44,0.90
HS-SAR-Berlin,5;8,soil;water,8,0.768806,0.004317,0.384928,0.018713,0.606867,0.007292,0.922987,0.001092,0.738113,0.007270,0.874470,0.001960,0.947035,0.001755,0.483313,0.026180,0.639566,0.022411,0.871872,0.013804,0.336837,0.017735,0.485511,0.016497,702.16,0.88
HS-SAR-Berlin,6;7,allotment;commercial area,8,0.791672,0.003278,0.468798,0.012507,0.644687,0.010641,0.890058,0.001053,0.695880,0.003954,0.817031,0.001583,0.969326,0.001212,0.003274,0.002056,0.006518,0.004086,0.927002,0.005398,0.002515,0.001579,0.005010,0.003142,701.75,0.88
HS-SAR-Berlin,6;8,allotment;water,8,0.796615,0.005957,0.475299,0.011852,0.655496,0.009940,0.917694,0.001660,0.706877,0.002123,0.865287,0.002528,0.956700,0.001882,0.049354,0.008058,0.093749,0.014499,0.917874,0.002655,0.073888,0.012063,0.136509,0.020496,704.54,0.92
